Year,Month,Trips
2019,January ,"21087589"
2019,February,"19539973"
2019,March,"21540459"
2019,April,"21029384"
2019,May,"20120798"
2019,June,"19960141"
2019,July,"21636938"
2019,August,"21146149"
2019,September,"19597948"
2019,October,"19469319"
2019,November,"19146002"
2019,December,"23539249"
2022,January ,"15065612"
2022,February,"13843239"
2022,March,"14066155"
2022,April,"17347714"
2022,May,"15872789"
2022,June,"15875705"
2022,July,"17485419"
2022,August,"15789924"
2022,September,"18416585"
2022,October,"18424158"
2022,November,"18260434"
2022,December,"20966434"
2023,January ,"21817436"
2023,February,"16391429"
2023,March,"19113601"
2023,April,"17927893"
2023,May,"17612068"
2023,June,"17246115"
2023,July,"18800298"
2023,August,"1660605"
2023,September,"19051031"
2023,October,"17498185"
2023,November,"16802947"
2023,December,"17343819"
