Industry,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Accommodation,8582000000,9309000000,10253000000,11208000000,10665000000,10432000000,10800000000,11235000000,11693000000,11640000000,11807000000,12261000000,12306000000,12824000000,13305000000,11234000000,7616000000,9469000000,16693000000
Ownership of dwellings,2265000000,2447000000,2653000000,2894000000,3190000000,3350000000,3645000000,3896000000,4123000000,4299000000,4483000000,4639000000,4813000000,5257000000,5458000000,5133000000,4719000000,4940000000,5673000000
"Cafes, restaurants and takeaway food services",7223000000,7515000000,8000000000,8364000000,8292000000,8226000000,8463000000,9087000000,9792000000,10500000000,11289000000,12163000000,12782000000,13552000000,14454000000,10942000000,9708000000,10722000000,16997000000
"Clubs, pubs, taverns and bars",3017000000,3164000000,3375000000,3589000000,3615000000,3624000000,3693000000,3863000000,4077000000,4429000000,4857000000,5336000000,5683000000,6016000000,6383000000,4885000000,4135000000,4596000000,7411000000
Rail transport,632000000,647000000,677000000,694000000,711000000,752000000,750000000,775000000,809000000,827000000,864000000,919000000,941000000,1018000000,1092000000,854000000,563000000,731000000,1156000000
Taxi transport,510000000,569000000,622000000,681000000,733000000,788000000,810000000,907000000,931000000,991000000,1025000000,1071000000,1130000000,1195000000,1264000000,878000000,348000000,496000000,1068000000
Other road transport,1024000000,1057000000,1115000000,1148000000,1184000000,1241000000,1248000000,1306000000,1376000000,1411000000,1470000000,1562000000,1600000000,1650000000,1681000000,1570000000,1001000000,1070000000,2034000000
"Air, water and other transport",12009000000,13095000000,14117000000,14287000000,14614000000,14468000000,15334000000,15720000000,15889000000,16697000000,17661000000,18350000000,19559000000,21391000000,23519000000,17032000000,6029000000,8580000000,21254000000
Transport equipment rental,1096000000,1174000000,1284000000,1299000000,1308000000,1287000000,1349000000,1378000000,1543000000,1586000000,1632000000,1708000000,1749000000,1812000000,1851000000,1569000000,1057000000,1466000000,2457000000
Travel agency and information centre services,3634000000,3902000000,4148000000,4456000000,4748000000,4854000000,5090000000,5296000000,5493000000,5710000000,5981000000,6265000000,6570000000,6923000000,7451000000,5931000000,3116000000,4432000000,8031000000
Cultural services,1006000000,1004000000,994000000,1020000000,1079000000,1066000000,1114000000,1195000000,1291000000,1359000000,1354000000,1451000000,1567000000,1674000000,1775000000,1442000000,956000000,1381000000,2235000000
Casinos and other gambling services,540000000,579000000,617000000,669000000,703000000,710000000,790000000,858000000,962000000,1013000000,1106000000,1196000000,1234000000,1257000000,1270000000,928000000,578000000,692000000,1290000000
Sports and recreation services,2056000000,2052000000,2027000000,2165000000,2390000000,2459000000,2575000000,2766000000,2997000000,3202000000,3235000000,3522000000,3874000000,4069000000,4248000000,3392000000,2385000000,3387000000,5370000000
